startTime,value,keys,name
2024-04-16T07:30:00Z,645.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T08:00:00Z,3103.0,Biomass,bmrs _report
2024-04-16T08:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T08:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T08:00:00Z,460.0,Hydro Pumped Storage,bmrs _report
2024-04-16T08:00:00Z,489.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T08:30:00Z,3203.0,Biomass,bmrs _report
2024-04-16T08:30:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T08:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T08:30:00Z,269.0,Hydro Pumped Storage,bmrs _report
2024-04-16T08:30:00Z,465.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T09:00:00Z,3200.0,Biomass,bmrs _report
2024-04-16T09:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T09:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T09:00:00Z,318.0,Hydro Pumped Storage,bmrs _report
2024-04-16T09:00:00Z,429.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T09:30:00Z,3121.0,Biomass,bmrs _report
2024-04-16T09:30:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T09:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T09:30:00Z,213.0,Hydro Pumped Storage,bmrs _report
2024-04-16T09:30:00Z,582.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T10:00:00Z,3116.0,Biomass,bmrs _report
2024-04-16T10:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T10:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T10:00:00Z,202.0,Hydro Pumped Storage,bmrs _report
2024-04-16T10:00:00Z,516.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T10:30:00Z,3092.0,Biomass,bmrs _report
2024-04-16T10:30:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T10:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T10:30:00Z,537.0,Hydro Pumped Storage,bmrs _report
2024-04-16T10:30:00Z,548.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T11:00:00Z,3117.0,Biomass,bmrs _report
2024-04-16T11:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T11:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T11:00:00Z,247.0,Hydro Pumped Storage,bmrs _report
2024-04-16T11:00:00Z,524.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T11:30:00Z,3064.0,Biomass,bmrs _report
2024-04-16T11:30:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T11:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T11:30:00Z,311.0,Hydro Pumped Storage,bmrs _report
2024-04-16T11:30:00Z,609.0,Hydro Run-of-river and poundage,bmrs _report
